We Were,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Kinfolks,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Tip Of My Tongue,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Self Control,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Heartache Medication,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
I Don't Know About You,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
What If I Never Get Over You,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Nice To Meet Ya,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Love Me More,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Cash Shit,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
